Taras Fedorovych	Fedorowicz	y
Alan Rodger, Baron Rodger of Earlsferry	Rodger	y
Juliana Carneiro da Cunha	Carneiro	y
Tommy de la Cruz	De la Cruz	y
Alexander Walker Scott	Alexander Walker	y
Robert Conroy	1862	y
Guillermo Iberio Ortiz Mayagoitia	Guillermo Ortiz	y
Les AuCoin	Aucoin	y
Charles Robinson, Jr.	Charles Robinson	y
Bill Baggs	Bagg	y
Maria I of Portugal	Mary I	y
Pope John Paul I	Luciani	y
Peter Archer, Baron Archer of Sandwell	Peter Archer	y
James B. Sumner	Batcheller	y
Ernesto Martens	Rebolledo	y
Armand Van Helden	Van Helden	y
Michael Redgrave	Scudamore	y
Adri van Houwelingen	Van Houwelingen	y
Karl W. Hofmann	Karl William	y
Sir William Molesworth, 8th Baronet	William Molesworth	y
Ajith Kumar	Ajit	y
Jack Sieg	Armbruster	y
Cyril V Zaim	Cyril V	y
Kunnur Manjunath Channappa	Manjunath	y
Sir Jack Harris, 2nd Baronet	Jack Harris	y
Abdul Samad Ismail	Abdul Samad	y
Philip Ruppe	Rupp	y
Joseph %22Mad Dog%22 Taborsky	Mad Dog	y
Jayanta Mahapatra	Jayant	y
Kara Mustafa Pasha	Mustafa	y
Tiina Sanila	Aikio	y
Karan Singh Grover	AR	y
Arch Hall, Jr.	Arch Hall	y
Frederick Bailey Deeming	Frederick Bailey	y
Jo Ann Robinson	Ann Robinson	y
Princess Caroline Mathilde of Saxe-Coburg and Gotha	Princess Caroline	y
Marie Louise, Duchess of Parma	Duchess Marie	y
Omer LaJeunesse	Lajeunesse	y
James Kirkwood, Sr.	James Kirkwood	y
Jarnail Singh Bhindranwale	Jarnail Singh	y
